ID,Application_Date,Applicant_Income,Applicant_Age,Loan_Amount,Loan_Term,Credit_Score,Employment_Years,Education_Level,Current_Address_Years,Has_Collateral,Debt_To_Income_Ratio,Approved
13267,6/1/2020,66340,35,121430,6,576,24,Doctoral,13,1,0.695721584,0
4481,6/1/2020,91460,26,148470,4,410,22,Doctoral,11,0,1.951885265,0
10155,6/2/2020,67810,33,159510,3,655,28,Bachelor,14,1,2.108330477,1
6737,6/2/2020,96590,47,283800,6,549,4,Bachelor,14,0,0.499917979,0
10429,6/2/2020,66480,39,54370,8,362,27,High School,4,0,1.317785895,1
16397,6/2/2020,61150,33,180210,5,326,11,Bachelor,1,1,2.326912493,1
21255,6/2/2020,34000,23,169990,9,318,15,Bachelor,13,1,0.220257235,1
23746,6/2/2020,53150,58,158950,8,546,19,Postgraduate,8,1,0.312174686,0
20786,6/2/2020,38100,26,61950,2,481,11,Postgraduate,13,0,0.477842004,1
3848,6/2/2020,45810,26,158960,2,634,21,Postgraduate,11,1,0.781312766,1
22821,6/2/2020,89900,48,59810,8,333,3,Postgraduate,3,0,1.018469657,1
4582,6/2/2020,73630,52,200890,5,681,5,Postgraduate,1,0,0.152083654,0
12219,6/2/2020,54440,26,54870,6,625,18,Bachelor,8,0,0.429869033,0
4634,6/2/2020,31290,22,74970,3,733,9,Doctoral,4,1,1.05539813,1
10258,6/3/2020,54500,27,119510,4,522,28,Postgraduate,11,1,1.718413021,0
3023,6/3/2020,78810,55,95240,6,376,16,Doctoral,8,0,0.147842057,1
16340,6/3/2020,88510,49,172530,1,300,2,Bachelor,2,1,0.241033823,1
21131,6/3/2020,87500,32,260620,3,282,2,High School,2,0,0.476840668,0
13258,6/3/2020,66970,42,255170,2,353,12,Postgraduate,10,0,0.59328957,1
4397,6/5/2020,53750,30,111100,4,585,22,Postgraduate,5,0,0.397994359,1
7210,6/5/2020,42070,31,57410,1,392,21,Bachelor,9,0,0.475148659,1
17651,6/5/2020,52320,24,69880,1,712,20,High School,6,0,0.218265793,0
14487,6/8/2020,77040,56,185090,3,322,14,Bachelor,12,0,0.234524442,0
21097,6/8/2020,94000,26,261110,6,481,13,Bachelor,2,0,0.225094628,1
14134,6/8/2020,81020,34,165630,9,471,12,Postgraduate,1,1,0.649917081,1
13809,6/8/2020,31160,28,288570,4,569,28,Postgraduate,14,1,0.686996239,1
16201,6/8/2020,72790,57,156030,2,379,24,High School,12,0,0.217065952,0
16837,6/8/2020,93950,58,224200,6,384,6,Postgraduate,11,0,1.044530079,0
8760,6/8/2020,32940,31,176120,9,710,9,Postgraduate,3,1,0.433884298,1
8895,6/8/2020,30380,27,182990,4,789,14,Postgraduate,14,1,0.395095085,1
8380,6/8/2020,47630,42,127250,9,463,17,Postgraduate,8,1,0.520460219,1
4454,6/8/2020,68370,52,67260,5,651,27,Bachelor,6,1,0.701293981,1
15963,6/8/2020,79770,36,240830,4,273,14,Bachelor,11,0,0.439003313,0
23540,6/10/2020,41350,30,258710,4,791,29,Postgraduate,2,0,0.373436569,1
12851,6/10/2020,36090,44,290630,7,513,10,Bachelor,2,0,0.106108837,0
12184,6/10/2020,72660,36,291180,1,790,1,Bachelor,11,0,0.401304477,1
